date,open,high,low,close
2026-01-20,1.1640,1.1747,1.1633,1.1639
2026-01-21,1.1726,1.1743,1.1697,1.1728
2026-01-22,1.1674,1.1751,1.1674,1.1673
2026-01-23,1.1754,1.1776,1.1729,1.1755
2026-01-26,1.1858,1.1905,1.1837,1.1858
2026-01-27,1.1874,1.1990,1.1852,1.1876
2026-01-28,1.2023,1.2024,1.1922,1.2018
2026-01-29,1.1977,1.1995,1.1908,1.1978
2026-01-30,1.1968,1.1973,1.1874,1.1966
2026-02-02,1.1850,1.1875,1.1791,1.1849
2026-02-03,1.1799,1.1825,1.1781,1.1799
2026-02-04,1.1816,1.1839,1.1792,1.1816
2026-02-05,1.1802,1.1820,1.1781,1.1802
2026-02-06,1.1777,1.1826,1.1767,1.1778
2026-02-09,1.1826,1.1925,1.1818,1.1826
2026-02-10,1.1905,1.1928,1.1890,1.1904
2026-02-11,1.1888,1.1927,1.1839,1.1890
2026-02-12,1.1875,1.1891,1.1853,1.1876
2026-02-13,1.1870,1.1879,1.1849,1.1868
2026-02-16,1.1867,1.1871,1.1848,1.1867
2026-02-17,1.1851,1.1853,1.1806,1.1850
2026-02-18,1.1852,1.1854,1.1810,1.1852
2026-02-19,1.1791,1.1808,1.1743,1.1789
2026-02-20,1.1769,1.1806,1.1745,1.1769
2026-02-23,1.1830,1.1834,1.1775,1.1835
2026-02-24,1.1793,1.1797,1.1767,1.1794
2026-02-25,1.1776,1.1808,1.1771,1.1775
2026-02-26,1.1815,1.1830,1.1782,1.1815
2026-02-27,1.1803,1.1824,1.1791,1.1803
2026-03-02,1.1760,1.1796,1.1673,1.1759
2026-03-03,1.1695,1.1707,1.1532,1.1697
2026-03-04,1.1611,1.1655,1.1577,1.1612
2026-03-05,1.1635,1.1647,1.1562,1.1636
2026-03-06,1.1607,1.1623,1.1548,1.1608
2026-03-09,1.1526,1.1594,1.1508,1.1523
2026-03-10,1.1617,1.1664,1.1608,1.1617
2026-03-11,1.1613,1.1644,1.1567,1.1611
2026-03-12,1.1542,1.1567,1.1511,1.1543
2026-03-13,1.1522,1.1529,1.1435,1.1522
2026-03-16,1.1438,1.1501,1.1416,1.1435
2026-03-17,1.1498,1.1542,1.1467,1.1500
2026-03-18,1.1539,1.1557,1.1493,1.1539
2026-03-19,1.1463,1.1537,1.1445,1.1464
2026-03-20,1.1576,1.1581,1.1526,1.1578
2026-03-23,1.1564,1.1638,1.1485,1.1560
2026-03-24,1.1608,1.1617,1.1569,1.1607
2026-03-25,1.1614,1.1632,1.1564,1.1615
2026-03-26,1.1565,1.1574,1.1524,1.1561
2026-03-27,1.1535,1.1547,1.1503,1.1535
2026-03-29,1.1492,1.1523,1.1444,1.1492
2026-03-30,1.1458,1.1539,1.1449,1.1460
2026-03-31,1.1571,1.1627,1.1556,1.1574
2026-04-01,1.1592,1.1599,1.1510,1.1591
2026-04-02,1.1544,1.1549,1.1521,1.1542
2026-04-05,1.1512,1.1570,1.1507,1.1510
2026-04-06,1.1541,1.1583,1.1525,1.1541
2026-04-07,1.1690,1.1723,1.1667,1.1687
2026-04-08,1.1658,1.1706,1.1651,1.1659
2026-04-09,1.1692,1.1741,1.1678,1.1691
2026-04-12,1.1672,1.1719,1.1671,1.1675
2026-04-13,1.1763,1.1811,1.1757,1.1769
2026-04-14,1.1798,1.1811,1.1774,1.1799
2026-04-15,1.1808,1.1824,1.1770,1.1809
2026-04-16,1.1779,1.1851,1.1773,1.1783
2026-04-19,1.1739,1.1791,1.1739,1.1741
2026-04-20,1.1784,1.1788,1.1743,1.1784
2026-04-21,1.1746,1.1761,1.1714,1.1744
2026-04-22,1.1705,1.1716,1.1679,1.1706
2026-04-23,1.1684,1.1721,1.1673,1.1684
2026-04-26,1.1706,1.1756,1.1706,1.1706
2026-04-27,1.1723,1.1729,1.1678,1.1723
2026-04-28,1.1719,1.1722,1.1684,1.1718
2026-04-29,1.1688,1.1738,1.1656,1.1685
2026-04-30,1.1730,1.1785,1.1719,1.1729
2026-05-03,1.1726,1.1738,1.1691,1.1727
2026-05-04,1.1692,1.1716,1.1677,1.1692
2026-05-05,1.1715,1.1797,1.1713,1.1716
2026-05-06,1.1748,1.1780,1.1747,1.1747
2026-05-07,1.1731,1.1785,1.1725,1.1732
2026-05-10,1.1769,1.1790,1.1749,1.1769
2026-05-11,1.1776,1.1779,1.1723,1.1780
2026-05-12,1.1736,1.1743,1.1696,1.1735
2026-05-13,1.1718,1.1722,1.1672,1.1716
2026-05-14,1.1662,1.1665,1.1618,1.1662
2026-05-17,1.1617,1.1659,1.1609,1.1614
2026-05-18,1.1654,1.1655,1.1593,1.1655
2026-05-19,1.1605,1.1644,1.1584,1.1607
2026-05-20,1.1625,1.1637,1.1577,1.1625
2026-05-21,1.1616,1.1618,1.1589,1.1621
2026-05-24,1.1641,1.1655,1.1630,1.1642
2026-05-25,1.1636,1.1647,1.1617,1.1637
2026-05-26,1.1639,1.1661,1.1624,1.1637
2026-05-27,1.1618,1.1658,1.1587,1.1618
2026-05-28,1.1653,1.1686,1.1626,1.1653
2026-05-31,1.1648,1.1667,1.1607,1.1649
2026-06-01,1.1636,1.1655,1.1629,1.1635
2026-06-02,1.1622,1.1636,1.1595,1.1622
2026-06-03,1.1609,1.1647,1.1599,1.1609
2026-06-04,1.1614,1.1646,1.1531,1.1613
2026-06-07,1.1525,1.1554,1.1501,1.1523
2026-06-08,1.1528,1.1578,1.1528,1.1528
2026-06-09,1.1535,1.1574,1.1534,1.1535
2026-06-10,1.1538,1.1558,1.1515,1.1536
2026-06-11,1.1574,1.1592,1.1558,1.1576
2026-06-14,1.1606,1.1623,1.1595,1.1603
2026-06-15,1.1593,1.1618,1.1575,1.1594
2026-06-16,1.1609,1.1618,1.1587,1.1610
2026-06-17,1.1511,1.1530,1.1454,1.1507
2026-06-18,1.1464,1.1476,1.1418,1.1459
2026-06-21,1.1464,1.1473,1.1426,1.1463
2026-06-22,1.1425,1.1439,1.1377,1.1427
2026-06-23,1.1379,1.1384,1.1325,1.1380
2026-06-24,1.1353,1.1388,1.1334,1.1354
2026-06-25,1.1364,1.1434,1.1355,1.1362
2026-06-28,1.1384,1.1426,1.1382,1.1386
2026-06-29,1.1419,1.1434,1.1383,1.1422
2026-06-30,1.1413,1.1417,1.1362,1.1413
2026-07-01,1.1378,1.1472,1.1375,1.1378
2026-07-02,1.1424,1.1465,1.1421,1.1423
2026-07-05,1.1436,1.1444,1.1410,1.1438
2026-07-06,1.1442,1.1447,1.1423,1.1442
2026-07-07,1.1401,1.1432,1.1392,1.1404
2026-07-08,1.1422,1.1451,1.1421,1.1422
2026-07-09,1.1434,1.1463,1.1418,1.1433
2026-07-12,1.1404,1.1446,1.1387,1.1404
2026-07-13,1.1384,1.1461,1.1379,1.1384
2026-07-14,1.1425,1.1446,1.1407,1.1425
2026-07-15,1.1473,1.1478,1.1438,1.1470
2026-07-16,1.1447,1.1453,1.1425,1.1445
2026-07-20,1.1432,1.1448,1.1419,1.1448
