date,open,high,low,close
2026-01-22,4791.8999,4908.7998,4791.8999,4908.7998
2026-01-23,4949.6001,4976.2002,4936.0000,4976.2002
2026-01-26,5081.5000,5095.6001,5052.2002,5079.7002
2026-01-27,5079.8999,5079.8999,5079.8999,5079.8999
2026-01-28,5301.6001,5301.6001,5301.6001,5301.6001
2026-01-29,5415.7002,5586.2002,5097.5000,5318.3999
2026-01-30,5376.3999,5440.5000,4700.0000,4713.8999
2026-02-02,4807.7002,4855.7998,4400.0000,4622.5000
2026-02-03,4680.0000,4984.6001,4674.2998,4903.7002
2026-02-04,4923.2998,5082.2002,4897.8999,4920.3999
2026-02-05,5008.7002,5012.2998,4786.0000,4861.3999
2026-02-06,4762.0000,4958.5000,4655.0000,4951.2002
2026-02-09,5017.3999,5065.7002,4979.1001,5050.8999
2026-02-10,5013.5000,5029.0000,5002.7002,5003.7998
2026-02-11,5049.8999,5111.2998,5041.2998,5071.6001
2026-02-12,5060.3999,5078.1001,4892.0000,4923.7002
2026-02-13,4953.0000,5043.8999,4946.2002,5022.0000
2026-02-17,5020.0000,5020.0000,4847.7998,4882.8999
2026-02-18,4872.2002,4987.0000,4869.5000,4986.5000
2026-02-19,5014.7002,5014.7002,4975.8999,4975.8999
2026-02-20,5039.5000,5072.7002,5039.5000,5059.2998
2026-02-23,5120.2998,5211.6001,5120.2998,5204.7002
2026-02-24,5158.7998,5159.0000,5112.7002,5155.7998
2026-02-25,5166.0000,5206.3999,5166.0000,5206.3999
2026-02-26,5177.2002,5199.2002,5143.8999,5176.5000
2026-02-27,5186.7002,5280.0000,5176.7002,5230.5000
2026-03-02,5346.6001,5405.0000,5266.2998,5294.3999
2026-03-03,5298.7002,5303.7998,5023.0000,5107.3999
2026-03-04,5130.7002,5180.2002,5117.2002,5120.2002
2026-03-05,5169.5000,5169.5000,5054.7002,5065.2998
2026-03-06,5121.0000,5146.1001,5076.1001,5146.1001
2026-03-09,5155.0000,5160.6001,5077.7002,5091.5000
2026-03-10,5138.2002,5229.7002,5137.6001,5229.7002
2026-03-11,5190.7998,5191.2998,5167.3999,5167.3999
2026-03-12,5137.2002,5137.2002,5115.7998,5115.7998
2026-03-13,5089.6001,5117.0000,5009.5000,5052.5000
2026-03-16,5001.6001,5010.6001,4994.0000,4994.0000
2026-03-17,5017.6001,5017.6001,4994.2002,5001.0000
2026-03-18,4949.6001,4949.6001,4821.7002,4889.8999
2026-03-19,4830.2998,4830.2998,4554.0000,4600.7002
2026-03-20,4686.8999,4686.8999,4570.3999,4570.3999
2026-03-23,4353.0000,4480.3999,4100.7998,4404.1001
2026-03-24,4338.7002,4399.2998,4325.2002,4399.2998
2026-03-25,4549.0000,4551.8999,4541.7998,4549.7998
2026-03-26,4441.5000,4443.1001,4375.5000,4375.5000
2026-03-27,4492.0000,4492.0000,4492.0000,4492.0000
2026-03-30,4482.7998,4579.1001,4413.3999,4526.0000
2026-03-31,4510.0000,4684.1001,4508.6001,4647.6001
2026-04-01,4668.3999,4789.1001,4668.0000,4783.2002
2026-04-02,4764.8999,4784.3999,4558.8999,4651.5000
2026-04-06,4656.1001,4689.6001,4605.0000,4656.7998
2026-04-07,4624.8999,4676.2998,4608.0000,4657.1001
2026-04-08,4760.0000,4851.0000,4738.7998,4749.5000
2026-04-09,4711.0000,4799.1001,4711.0000,4792.2002
2026-04-10,4745.8999,4791.0000,4744.8999,4761.8999
2026-04-13,4704.0000,4742.3999,4704.0000,4742.3999
2026-04-14,4770.1001,4841.6001,4770.1001,4825.0000
2026-04-15,4843.6001,4843.6001,4798.0000,4800.0000
2026-04-16,4810.8999,4810.8999,4785.3999,4785.3999
2026-04-17,4771.6001,4879.7002,4767.2002,4857.6001
2026-04-20,4793.8999,4811.0000,4770.0000,4806.6001
2026-04-21,4698.3999,4705.0000,4676.3999,4698.3999
2026-04-22,4754.2002,4754.2002,4732.5000,4732.5000
2026-04-23,4711.5000,4732.3999,4705.1001,4705.1001
2026-04-24,4695.0000,4722.2998,4657.5000,4722.2998
2026-04-27,4707.6001,4711.1001,4675.3999,4675.3999
2026-04-28,4680.8999,4680.8999,4591.5000,4591.5000
2026-04-29,4598.6001,4601.6001,4515.7002,4545.2002
2026-04-30,4561.8999,4636.7002,4561.8999,4614.7002
2026-05-01,4636.7002,4636.7002,4581.7002,4629.8999
2026-05-04,4581.2002,4581.2002,4512.7002,4519.5000
2026-05-05,4547.6001,4580.5000,4547.6001,4555.7998
2026-05-06,4663.6001,4712.6001,4663.6001,4681.8999
2026-05-07,4704.7998,4736.2002,4699.7998,4699.7998
2026-05-08,4714.3999,4724.7998,4713.6001,4720.3999
2026-05-11,4729.5000,4729.5000,4718.7002,4718.7002
2026-05-12,4762.2002,4765.2002,4677.6001,4677.6001
2026-05-13,4722.7002,4722.7002,4679.5000,4697.7002
2026-05-14,4678.1001,4678.1001,4650.2998,4678.1001
2026-05-15,4615.2002,4615.2002,4524.2998,4555.7998
2026-05-18,4563.0000,4570.2998,4538.7002,4552.5000
2026-05-19,4551.7002,4552.6001,4506.2002,4506.2998
2026-05-20,4502.6001,4531.2998,4465.1001,4531.2998
2026-05-21,4507.2002,4539.7998,4503.7998,4539.7998
2026-05-22,4519.5000,4530.2998,4519.1001,4521.0000
2026-05-26,4572.7998,4572.7998,4500.3999,4500.3999
2026-05-27,4439.7002,4447.5000,4439.7002,4447.5000
2026-05-28,4453.6001,4512.6001,4363.5000,4499.2998
2026-05-29,4494.0000,4591.7998,4487.8999,4560.5000
2026-06-01,4523.5000,4541.3999,4449.7002,4475.2002
2026-06-02,4488.0000,4529.5000,4474.2002,4489.1001
2026-06-03,4471.2002,4471.7002,4427.2002,4436.7002
2026-06-04,4447.3999,4509.8999,4447.3999,4475.7998
2026-06-05,4472.2998,4472.2998,4319.1001,4337.1001
2026-06-08,4324.2002,4340.8999,4284.6001,4335.8999
2026-06-09,4332.7998,4344.5000,4240.2002,4260.0000
2026-06-10,4200.0000,4206.7002,4100.0000,4108.2002
