date,open,high,low,close
2026-01-19,157.5670,158.1480,157.4250,157.5350
2026-01-20,158.1800,158.5920,157.5660,158.1770
2026-01-21,158.1560,158.2970,157.7500,158.1620
2026-01-22,158.4570,158.8750,158.2030,158.4560
2026-01-23,158.4880,159.2070,157.3920,158.5010
2026-01-26,155.1870,155.3260,153.3530,155.1660
2026-01-27,154.3490,154.8690,152.8910,154.3360
2026-01-28,152.5190,153.7660,152.3300,152.4530
2026-01-29,153.1240,153.5060,152.7590,153.0960
2026-01-30,153.1470,154.7460,153.0850,153.1620
2026-02-02,155.1350,155.6850,154.5690,155.2020
2026-02-03,155.5030,156.0700,155.3120,155.4430
2026-02-04,155.8150,156.8450,155.8150,155.7990
2026-02-05,156.9040,157.3280,156.5630,156.9170
2026-02-06,156.7710,157.1310,156.5390,156.7840
2026-02-09,157.2550,157.2550,155.5320,157.2440
2026-02-10,156.1220,156.2850,154.0740,156.1320
2026-02-11,154.5020,154.5460,152.8240,154.4820
2026-02-12,153.2390,153.7380,152.2780,153.2690
2026-02-13,152.7570,153.6550,152.7450,152.8210
2026-02-16,152.7880,153.6190,152.7700,152.7790
2026-02-17,153.5500,153.8870,152.7010,153.6090
2026-02-18,153.1160,154.4790,153.0630,153.1490
2026-02-19,154.6840,155.3120,154.5380,154.6930
2026-02-20,155.1740,155.6250,154.7190,155.1600
2026-02-23,154.3560,155.0220,153.9950,154.3390
2026-02-24,154.6370,156.2420,154.6190,154.6350
2026-02-25,155.9120,156.8080,155.3570,155.8800
2026-02-26,156.1430,156.2610,155.7460,156.2000
2026-02-27,155.8710,156.2170,155.5410,155.8590
2026-03-02,156.6080,157.7440,156.1480,156.6330
2026-03-03,157.2720,157.9660,157.1530,157.2570
2026-03-04,157.7810,157.8450,156.8830,157.7730
2026-03-05,156.9710,157.7680,156.4740,156.9830
2026-03-06,157.5220,158.0740,157.4120,157.5340
2026-03-09,158.3840,158.8940,158.0030,158.4270
2026-03-10,157.8560,157.9590,157.2770,157.8480
2026-03-11,158.0680,158.8390,157.8700,158.1140
2026-03-12,159.0930,159.2840,158.5730,159.0750
